“阿帕“（游戏角色）的战斗定位是什么	独特的复活机制，可以针对刺客																
“吕布“（游戏角色）的战斗定位是什么	能抗能打，破盾机制，针对护盾多阵容																
“冷冷“（游戏角色）的战斗定位是什么	小技能必定暴击，爆发阵容必备																
“茉莉“（游戏角色）的战斗定位是什么	真实伤害机制，克制免伤潮灵																
“查查“（游戏角色）的战斗定位是什么	开局交换位置，可以针对敌方核心潮灵																
“卢卡“（游戏角色）的战斗定位是什么	既肉又有控制，万金油																
“塔弥“（游戏角色）的战斗定位是什么	小技能AOE清场，必杀技强力控制																
“杜铎“（游戏角色）的战斗定位是什么	超强的控制与AOE能力，关键是很帅																
“泡泡脑“（游戏角色）的设计思路是什么	“泡泡脑”定位是一个极具智慧的科学家形象，形象以绿色和灰色为主。他那浸泡在透明容器里的脑部结构是他最大的特点，代表了他的聪明智慧。灰色的科学制服和手上的试管则凸显了他科研的特点，也符合辅助治疗等特点。																
“泡泡脑“（游戏角色）的战斗定位是什么	作为一名科学家，泡泡脑的定位是群体治疗型辅助，能窃取敌方生命值，恢复己方队友生命值。																
“卜卜苏利“（游戏角色）的设计思路是什么	作为重度社恐的潮流人士 ，卜卜苏利的这套街头风造型以广受大众喜爱的猫咪为原型，以艺术界的贵族蓝“克莱因蓝”为主色调，无论走在哪都十分惹眼鲜亮的存在，然而卜卜却选择用同色系的围巾和猫耳鸭舌帽压制住了这种张扬感，整体看上去帅气又夺目，纯净又梦幻。不愧是潮灵王国最酷的girl。																
“美杜莎“（游戏角色）的设计思路是什么	作为天生就长着一头蛇发的美杜莎，似乎生来就该是一个特立独行的都市潮人，因为不寻常所以更要显眼，她大胆的亮色系服饰也正是这种个性的体现。时刻不离手的咖啡也是她在繁忙的工作之中对身材控制的一种执念。这样的雷厉风行的蛇蝎美人有没有让你想起身边的某位熟人呢？																
“茉莉“（游戏角色）的设计思路是什么	作为一名定位“中国娃娃”的潮灵，茉莉设计之初便参考了传统戏曲风的设计元素，铜钱头额饰，和着重强调的桃红色眼妆都是这一塑造的体现。同时改良的古风元素小裙子和像耳朵一样竖起的帽子更突显角色性格深处的可爱与俏皮。																
“轻舞佳人“（游戏角色）的设计思路是什么	"轻舞佳人曾被称为月之仙子。当她沐浴月光而来，在用灵力静止的水面上翩然起舞，加上手中琵琶的弹奏，舞乐配合，翩若惊鸿，宛若游龙，当真是如同月之仙子一般灵动超然。她平日最大的爱好便是弹奏各种乐器，伴随着山水之间的自然音效奏出动人心魄的曲子。她本来远离尘世，打算找一隅静谧之地修身养性，但因种种缘故不得不暂时居住于水之王国，为潮灵们化解危机。尽管在人类的知识中了解到月宫并不存在，她还是对月亮充满了向往。"
“哈琪”（游戏角色）的设计思路是什么	作为冰雪王国的公主，哈琪的外观如同冰雪一般清透灵秀，玄色的局部配色，突显了她作为皇室的尊贵感，身上的部分小珍珠点缀和她本人一眼璀璨闪耀，眼中的爱心桃又寓意着，她虽然身份尊贵，但内心依然是个活泼向往自由的小女生。																
“泷”（游戏角色）的设计思路是什么	作为神秘家族的继承人，泷的角色设计整体围绕着他的神秘身份展开，被蒙住的双眼暗示他能力的深不可测，头顶的龙形面具则是其身份的象征。山水风的服饰和画扇都营造出了独特的古风禅意。																
不删档内测有什么福利吗？	不删档内测可享受充值返还福利，单盛天账号下在本游戏内所有区服的充值总额，在公测服务器中可获得200%的“代金券”返还。																
有没有礼包码	礼包码有CLWGQQ、VIP666、VIP777、VIP888；另外您可加入官方QQ群638488060，群内有发布进群礼包哦～																
潮灵王国上线日期在什么时间	于2024年1月3日上线，您还可以添加我们的官方Q群638488060，第一时间收到游戏相关消息通知																
注销账号需要多久	申请注销后，有30天冻结期，每个账号仅有1次申请解冻的机会，需要联系客服申请。																
发下测试链接	本次潮灵王国：起源测试的下载链接：https://d.shengtiangames.com/CLWG_shengtian_PIDig8kQe9de_1700961453614.apk																
怎么换绑	您可以登录盛天用户中心http://eyus.stnts.com/new/v2/login.do，按照提示进行操作即可。																
测试期间充值的金额公测如何返利	"①盛天客户端（官网、taptap、好游快爆）单个盛天账号下多轮测试多次充值的额度叠加汇总计算，统一在公测进行200%代金券返还。如一个玩家参与了N次买量不计费删档测试，又参与了渠道计费删档测试，且都使用盛天客户端充值情况下，充值总金额将统一在公测时返还至该账号创建的第一个游戏角色中，且该角色会一次性领取全部返利。②非盛天客户端 渠道账号在本次测试所有区服充值总额，在公测服务器中，使用原账号原渠道登录可获得200%代金券返还，无上限"
萌新的玩家比较关注的新手教学攻略	大家放心，这个我们已经在准备中啦，游戏后续也会做一些引导优化的！																
后续是否会新增更多的游戏内福利活动和实物福利活动？	都有，游戏内福利活动会有常驻轮换的活动，实物福利活动的话会根据情况不定时开启的																
王国建设可以多更新一些物品和主题吗？现在的看起来稍许有些单调。	现在版本有10套王国主题，和冒险之旅进程绑定，后续会根据活动需求新增相应的建筑及主题																
潮灵们可以往萌趣方向上再加一点赛博朋克风设计吗？或是后续还会出其他风格的潮灵吗？	不同学院的潮灵风格不一样，后续根据潮灵学院及背景会有不同风格的潮灵，包括但不限于赛博朋克风格哦。																
这个池子里真的有典藏吗？？？	已经有不少玩家抽到典藏了哦																
如何解决卡关的问题？	目前主线和爬塔随着时间难度会慢慢降低，同时可以收取挂机资源、王国水晶提升实力再次挑战																
有哪几个潮灵学院	一共有3个潮灵学院，它们分别是力量学院、敏捷学院、和智力学院。																
潮灵学院有什么用途	不同学院的潮灵具有相应的不同属性，当上阵的潮灵人数达到指定激活对应属性类型的条件时，便会拥有更加强大的属性加成。																
潮灵分为哪几种职业	一共有6种职业，分别是刺客、法师、辅助、坦克、游侠、战士																
“狮小小”（游戏角色）是哪个学院的	力量学院																
“提卡”（游戏角色）是哪个学院的	智力学院																
“冷冷”（游戏角色）是哪个学院的	智力学院																
“悟空”（游戏角色）是哪个学院的	力量学院																
“力昂”（游戏角色）是哪个学院的	力量学院																
“琳”（游戏角色）是哪个学院的	智力学院																
“影”（游戏角色）是哪个学院的	敏捷学院																
“血刃”（游戏角色）是哪个学院的	敏捷学院																
“轻舞佳人”（游戏角色）是哪个学院的	智力学院																
“烟火神”（游戏角色）是哪个学院的	智力学院																
“泡泡脑”（游戏角色）是哪个学院的	智力学院																
“伊林”（游戏角色）是哪个学院的	敏捷学院																
“白墩墩”（游戏角色）是哪个学院的	力量学院																
“重”（游戏角色）是哪个学院的	力量学院																
“墩小艺”（游戏角色）是哪个学院的	力量学院																
“阿鲁鲁”（游戏角色）是哪个学院的	智力学院																
“吉他手”（游戏角色）是哪个学院的	智力学院																
“乔科”（游戏角色）是哪个学院的	敏捷学院																
“小小”（游戏角色）是哪个学院的	力量学院																
“苏拉”（游戏角色）是哪个学院的	敏捷学院																
“多多”（游戏角色）是哪个学院的	力量学院																
“菲”（游戏角色）是哪个学院的	智力学院																
“阿瓜”（游戏角色）是哪个学院的	智力学院																
“牟重重”（游戏角色）是哪个学院的	力量学院																
“玻丽”（游戏角色）是哪个学院的	敏捷学院																
“卜卜苏利”（游戏角色）是哪个学院的	敏捷学院																
“牟九九”（游戏角色）是哪个学院的	敏捷学院																
“奇霍”（游戏角色）是哪个学院的	智力学院																
“塔弥”（游戏角色）是哪个学院的	智力学院																
“哈琪”（游戏角色）是哪个学院的	智力学院																
“图巴罗”（游戏角色）是哪个学院的	敏捷学院																
